Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq
young,man,776,2546,232
avoid,meet,111,508,1
time,past,2625,187,16
irritable,condition,58,163,1
dread,meeting,58,138,1
practical,importance,36,70,1
real,terror,215,141,1
irrelevant,gossip,19,45,1
pester,demand,19,64,1
odd,smile,22,734,1
new,step,511,419,1
new,word,511,1439,2
last,month,1586,356,16
special,petersburg,167,323,1
petersburg,stench,323,8,1
overwrought,nerve,5,38,3
insufferable,stench,15,8,1
revolt,misery,34,45,1
profound,disgust,47,65,1
disgust,gleam,65,47,1
refine,face,11,1410,1
beautiful,dark,100,208,1
dark,eye,208,1211,13
dark,brown,208,16,10
brown,hair,16,166,6
deep,thought,122,549,5
complete,blankness,152,2,1
mutter,something,297,1444,15
taste,food,59,34,1
man,accustom,2546,24,3
create,surprise,47,347,1
hay,market,29,45,20
bad,character,376,219,1
work,class,382,105,1
class,population,105,7,1
population,crowd,7,230,1
cause,surprise,243,347,1
different,matter,259,609,21
former,fellow,104,375,2
fellow,student,375,114,3
dislike,meeting,70,138,1
drunken,man,90,2546,13
unknown,reason,67,479,14
huge,waggon,49,7,2
waggon,drag,7,80,1
heavy,dray,60,1,1
dray,horse,1,133,1
drive,past,263,187,4
german,hatter,111,1,1
man,stop,2546,411,1
tall,round,66,493,1
round,hat,493,217,9
stupid,thing,259,1295,11
trivial,detail,39,153,3
whole,plan,889,151,5
look,absurd,2970,109,1
old,pancake,1356,11,1
grotesque,thing,14,1295,1
nobody,wear,58,214,1
ruin,everything,138,811,1
many,step,532,419,2
dare,recklessness,326,8,1
excitement,grow,159,343,1
sinking,heart,10,897,5
nervous,tremor,102,16,1
huge,house,49,888,2
side,look,427,2970,1
tiny,tenement,58,3,1
girl,pick,465,115,1
petty,clerk,36,136,3
meet,none,508,104,1
inquisitive,eye,28,1211,5
help,ask,383,1621,1
fourth,storey,47,31,8
move,furniture,337,34,1
german,clerk,111,136,1
civil,service,26,186,3
fourth,floor,47,177,9
old,woman,1356,1047,208
good,thing,1595,1295,56
faint,tinkle,89,7,1
peculiar,tinkle,99,7,1
tinkle,seem,7,1349,1
tiny,crack,58,32,4
woman,eye,1047,1211,1
evident,distrust,96,10,1
little,eye,1465,1211,13
grow,bolder,343,6,3
man,step,2546,419,2
dark,entry,208,20,1
tiny,kitchen,58,66,2
woman,stand,1047,1039,2
stand,face,1039,1410,19
sharp,malignant,49,28,1
malignant,eye,28,1211,2
grizzle,hair,4,166,1
thickly,smear,10,12,3
hang,flap,156,2,1
mangy,fur,3,14,1
fur,cape,14,7,1
woman,cough,1047,56,1
peculiar,expression,99,318,1
half,bow,387,218,1
good,sir,1595,251,18
inquire,eye,139,1211,3
raskolnikov,continue,782,234,4
woman,pause,1047,109,1
visitor,pas,232,38,1
little,room,1465,1129,15
man,walk,2546,563,1
yellow,paper,61,240,4
muslin,curtain,3,39,1
rapid,glance,61,252,8
scan,everything,30,811,1
yellow,wood,61,48,2
huge,bent,49,37,1
bent,wooden,37,50,1
oval,table,6,520,1
yellow,frame,61,25,1
german,damsel,111,3,1
small,ikon,185,54,1
everything,shone,811,15,1
old,widow,1356,92,2
raskolnikov,think,782,2317,8
curious,glance,89,252,1
cotton,curtain,20,39,2
door,lead,750,267,7
tiny,room,58,1129,3
bring,something,817,1444,2
flat,silver,113,42,1
silver,watch,42,300,8
last,pledge,1586,37,1
alyona,ivanovna,18,635,15
worth,anything,173,796,1
last,time,1586,2625,81
woman,hand,1047,1662,1
top,drawer,81,35,2
steel,ring,9,107,2
deep,notch,122,5,2
fifteen,copeck,142,56,4
twenty,copeck,188,56,12
valuable,thing,21,1295,1
complete,confusion,152,91,1
confusion,become,91,598,2
atrocious,thing,3,1295,1
filthy,thing,36,1295,3
whole,month,889,356,16
intense,repulsion,79,23,2
definite,form,43,195,1
next,street,356,297,3
look,round,2970,493,81
step,lead,419,267,4
felt,giddy,657,14,3
burning,thirst,24,43,1
cold,beer,167,16,1
sudden,weakness,239,52,1
little,table,1465,520,10
dirty,corner,68,304,3
thought,become,549,598,1
physical,derangement,30,5,1
dry,bread,50,98,1
scornful,reflection,10,48,1
look,cheerful,2970,42,2
terrible,burden,241,44,2
gaze,round,289,493,1
happy,frame,208,25,1
group,consist,73,47,1
stout,man,31,2546,3
grey,beard,40,61,5
drop,asleep,255,134,7
upper,part,31,524,4
body,bound,99,58,1
meaningless,refrain,5,35,1
silent,companion,291,55,1
companion,look,55,2970,2
positive,hostility,62,9,1
government,clerk,77,136,8
chapter,ii,172,56,22
ii,raskolnikov,56,782,1
avoid,society,111,245,1
new,seem,511,1349,1
